participant,condition_recode,salience_mean,choice,stress_mean,stress_mean,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean
66c0df311f98d7c9661669d9,1,2.5,1.3958333333333333,3.0,3.0,0.0,,2.1666666666666665,,,,,3.0,0.5625,,0.027037037037037043,0.02857142857142857
66c0df311f98d7c9661669d9,2,4.0,1.4186046511627908,3.0,3.0,0.0,,2.744186046511628,,,,,3.0,0.4666666666666667,,0.02523809523809524,0.02
66c95504723c57c900715764,1,1.5,1.5,3.0,3.0,0.0,,1.4,,,,,3.0,0.48,,0.022083333333333333,0.021923076923076927
66c95504723c57c900715764,2,3.0,1.5,3.0,3.0,0.0,,2.08,,,,,3.0,0.62,,0.025161290322580653,0.019473684210526317
66ce33a40ac4984adc2e18c8,1,3.5,1.3617021276595744,5.5,5.5,2.0,,1.3617021276595744,,,,,4.5,0.6382978723404256,,0.025666666666666674,0.024705882352941175
66ce33a40ac4984adc2e18c8,2,4.0,1.44,3.5,3.5,2.0,,0.96,,,,,4.5,0.5102040816326531,,0.0216,0.023750000000000004
66d2d920fb76c49f098b9397,1,4.0,1.5,9.0,9.0,0.0,,4.62,,,,,9.0,0.64,,0.0303125,0.037777777777777785
66d2d920fb76c49f098b9397,2,5.0,1.5,9.0,9.0,0.0,,4.282608695652174,,,,,9.0,0.574468085106383,,0.02740740740740741,0.03157894736842106
66d9609fbac7758ed890cece,1,2.0,1.3,4.5,4.5,0.5,,2.14,,,,,4.25,0.36,,0.02444444444444445,0.028125000000000004
66d9609fbac7758ed890cece,2,4.5,1.48,4.0,4.0,0.5,,3.04,,,,,4.25,0.36,,0.02277777777777778,0.028125
66dc48cea9a85fe230c06b5f,1,2.0,1.2608695652173914,2.5,2.5,-4.0,,3.3260869565217392,,,,,4.5,0.6521739130434783,,0.03166666666666667,0.026250000000000002
